City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,wailua homesteads,22.0669,-159.378,27.24,78,20,7.2,US,1689050328
84,rudnichnyy,59.617,52.4703,11.46,91,100,4.63,RU,1689050568
85,ilek,51.5271,53.3831,33.7,17,100,8.19,RU,1689050568
86,grand island,40.925,-98.342,24.16,77,0,6.17,US,1689050463
87,bridlington,54.0831,-0.1919,16.05,94,100,1.79,GB,1689050569
88,tangalle,6.024,80.7911,31.09,67,96,6.67,LK,1689050569
89,margaret river,-33.95,115.0667,17.32,76,61,9.0,AU,1689050347
90,hamilton,39.1834,-84.5333,22.1,78,0,1.54,US,1689050344
91,bodo,67.28,14.405,18.3,77,0,2.06,NO,1689050569
92,jamestown,42.097,-79.2353,19.29,85,0,1.54,US,1689050326
93,jaciara,-15.9653,-54.9683,20.37,39,10,1.23,BR,1689050569
94,taesal-li,36.9714,126.4542,23.65,87,100,7.73,KR,1689050569
95,alappuzha,9.49,76.3264,28.89,81,100,2.59,IN,1689050569
96,bria,6.5423,21.9863,20.16,96,68,0.88,CF,1689050374
97,maria aurora,15.7967,121.4737,32.64,61,36,2.58,PH,1689050570
98,gomez farias,23.05,-99.15,25.35,90,50,1.01,MX,1689050570
99,atafu village,-8.5421,-172.5159,28.79,77,50,7.15,TK,1689050331
100,avarua,-21.2078,-159.775,26.03,89,9,5.66,CK,1689050342
101,blackmans bay,-43.0167,147.3167,14.18,68,96,2.42,AU,1689050329
102,saint-joseph,-21.3667,55.6167,22.48,65,0,1.3,RE,1689050570
103,senador guiomard,-10.1522,-67.7392,22.86,68,38,1.08,BR,1689050570
104,mount gambier,-37.8333,140.7667,15.73,74,14,4.19,AU,1689050570
105,uporovo,56.3109,66.2693,31.24,49,77,2.51,RU,1689050570
106,miquelon,47.0975,-56.3814,12.0,92,66,5.95,PM,1689050391
107,ola,59.5833,151.2833,11.77,63,100,2.5,RU,1689050370
108,kristiansund,63.1115,7.732,15.03,88,75,1.03,NO,1689050361
109,praia da vitoria,38.7333,-27.0667,23.14,83,40,2.41,PT,1689050349
110,argo,37.6333,22.7333,24.88,40,0,1.45,GR,1689050337
111,alice springs,-23.7,133.8833,17.75,39,1,5.8,AU,1689050217
112,wewak,-3.5534,143.6268,27.94,76,100,1.87,PG,1689050571
113,talcahuano,-36.7167,-73.1167,6.82,65,0,2.06,CL,1689050571
114,kerema,-7.9631,145.7785,27.07,82,100,2.8,PG,1689050571
115,petropavlovsk-kamchatsky,53.0452,158.6483,15.33,82,40,4.0,RU,1689050330
116,rongelap,11.1635,166.8941,28.49,77,69,5.88,MH,1689050335
117,aizkraukle,56.6048,25.2553,14.6,59,99,0.86,LV,1689050571
118,altai,46.3722,96.2583,14.53,59,95,3.51,MN,1689050376
119,hami,42.8,93.45,30.6,25,100,4.28,CN,1689050357
120,puerto ayora,-0.7393,-90.3518,25.31,93,83,3.58,EC,1689050334
121,buala,-8.145,159.5921,27.96,72,100,4.48,SB,1689050572
122,batie,9.8833,-2.9167,22.83,94,97,1.47,BF,1689050572
123,stanley,54.868,-1.6985,13.2,91,69,3.19,GB,1689050343
124,preobrazheniye,42.9019,133.9064,21.16,89,78,1.03,RU,1689050572
125,mata-utu,-13.2816,-176.1745,27.68,79,97,7.83,WF,1689050338
126,luderitz,-26.6481,15.1594,15.22,29,0,9.56,NA,1689050357
127,taoudenni,22.6783,-3.9836,35.05,11,77,3.46,ML,1689050573
128,cabo san lucas,22.8909,-109.9124,28.67,81,4,0.89,MX,1689050286
129,port lincoln,-34.7333,135.8667,16.36,52,19,5.26,AU,1689050352
130,luganville,-15.5333,167.1667,24.38,70,99,4.96,VU,1689050574
131,aykhal,66.0,111.5,18.94,70,97,4.85,RU,1689050331
132,hithadhoo,-0.6,73.0833,27.66,64,100,1.36,MV,1689050353
133,chul'man,56.8479,124.9104,27.97,35,9,3.74,RU,1689050574
134,riversdale,18.1659,-76.9642,28.92,83,6,0.65,JM,1689050574
135,ajdabiya,30.7554,20.2263,23.46,61,0,4.21,LY,1689050575
136,sovetskiy,61.3614,63.5842,12.53,96,100,3.91,RU,1689050575
137,port elizabeth,-33.918,25.5701,10.16,78,75,5.14,ZA,1689050066
138,ancud,-41.8697,-73.8203,4.47,90,96,3.7,CL,1689050387
139,olinda,-8.0089,-34.8553,23.85,88,40,2.06,BR,1689050362
140,nema,57.5067,50.5011,20.87,71,99,5.13,RU,1689050575
141,bulayevo,54.9056,70.4439,31.03,35,93,5.74,KZ,1689050575
142,yaren,-0.5472,166.916,27.87,72,78,2.25,NR,1689050575
143,illizi,26.4833,8.4667,28.89,21,0,3.41,DZ,1689050575
144,mende,44.6667,3.5,16.47,66,0,1.69,FR,1689050575
145,kingston,17.997,-76.7936,29.53,77,20,4.12,JM,1689050201
146,mahibadhoo,3.7833,72.9667,27.88,71,99,3.18,MV,1689050576
147,saipan,15.1355,145.701,26.39,100,100,5.66,MP,1689050330
148,villa elisa,-25.3667,-57.6167,22.8,100,75,0.0,PY,1689050576
149,hermanus,-34.4187,19.2345,4.89,75,20,4.07,ZA,1689050327
